_id,productTitle,productPrice,productUrl,productImage,shop,mainCategoryName,brandName
6664916327afadaf97944e35,Schweppes Classic Mixers Indian Tonic Water Zero Sugar 4 Pack,7,https://www.igashop.com.au//product/schweppes-classic-mixers-indian-tonic-water-zero-sugar-301919,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",IGA,Soft Drinks,Schweppes
6664916327afadaf97944e36,Schweppes Classic Mixers Lemon Lime & Bitters 1.1L,1.8,https://www.igashop.com.au//product/schweppes-classic-mixers-lemon-lime-bitters-852790,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",IGA,Soft Drinks,Schweppes
6664916327afadaf97944e37,Schweppes Classic Mixers Lemon Lime & Bitters Zero Sugar 1.1L,1.8,https://www.igashop.com.au//product/schweppes-classic-mixers-lemon-lime-bitters-zero-sugar-160000003173,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",IGA,Soft Drinks,Schweppes
6664916327afadaf97944e38,Schweppes Classic Mixers Lemon Lime & Bitters Zero Sugar 4 Pack,7,https://www.igashop.com.au//product/schweppes-classic-mixers-lemon-lime-bitters-zero-sugar-983193,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",IGA,Soft Drinks,Schweppes
6664916327afadaf97944e39,Schweppes Classic Mixers Soda Water 1.1L,1.8,https://www.igashop.com.au//product/schweppes-classic-mixers-soda-water-852960,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/852960",IGA,Soft Drinks,Schweppes
6664916327afadaf97944e3a,Schweppes Classic Mixers Soda Water 4 Pack,7,https://www.igashop.com.au//product/schweppes-classic-mixers-soda-water-460399,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/460399",IGA,Soft Drinks,Schweppes
6664916327afadaf97944e3b,Schweppes Cordial Lemon 750mL,4.5,https://www.igashop.com.au//product/schweppes-cordial-lemon-20000004163,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/20000004163",IGA,Soft Drinks,Schweppes
6664916327afadaf97944e3c,Schweppes Cordial Lemon Lime & Bitters Syrup 300mL,4,https://www.igashop.com.au//product/schweppes-cordial-lemon-lime-bitters-syrup-654401,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/654401",IGA,Soft Drinks,Schweppes
6664916327afadaf97944e3d,Schweppes Dry Ginger Ale 4 Pack,7,https://www.igashop.com.au//product/schweppes-dry-ginger-ale-302591,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/302591",IGA,Soft Drinks,Schweppes
6664916327afadaf97944e3e,Schweppes Elderflower Tonic 6 Pack,9,https://www.igashop.com.au//product/schweppes-elderflower-tonic-228483,/static/default-product-image.png,IGA,Soft Drinks,Schweppes
6664916327afadaf97944e3f,Schweppes Lemon & Lime with Natural Mineral Water 4 Pack,7,https://www.igashop.com.au//product/schweppes-lemon-lime-with-natural-mineral-water-383474,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",IGA,Soft Drinks,Schweppes
6664916327afadaf97944e40,Schweppes Lemon Lime & Bitters 4 Pack,7,https://www.igashop.com.au//product/schweppes-lemon-lime-bitters-461670,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",IGA,Soft Drinks,Schweppes
6664916327afadaf97944e41,Schweppes Lemonade 2L,3.6,https://www.igashop.com.au//product/schweppes-lemonade-21501,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",IGA,Soft Drinks,Schweppes
6664916327afadaf97944e42,Schweppes Lemonade 6 Pack,6.3,https://www.igashop.com.au//product/schweppes-lemonade-219264,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",IGA,Soft Drinks,Schweppes
