productTitle,productPrice,subCategoryName
Red Rock Deli Classics Sour Cream & Chives 190g,4.8,Dips
Nuffin Beetroot Dip 200g,4,Dips
Chris' Dips Sweet Potato & Cashew 200g,4.5,Dips
Tiffany's Kitchen Tzatziki 200g,3,Dips
Sss Foods Hommus Natural 225g,3.2,Dips
Pilpel Dip Hummous 350g,5.5,Dips
Chris' Dips Avocado 200g,4.5,Dips
Yumi's Roasted Beetroot Hommus Dip 200g,3,Dips
Chris' Dips Spring Onion 200g,4.5,Dips
Obela Hommus To Go Classic & Sakata Crackers 125g,4,Dips
Yumi's Mini Hommus 65g X3 Pack,3.5,Dips
Simply Delish Traditional Guacamole 180g,5.7,Dips
Yumi's Hommus Zesty Lemon 200g,3,Dips
Nuffin Beetroot Dip 200g,4,Dips
Nuffin Beetroot Dip 200g,4,Dips
Nuffin Capsicum & Onion Dip 200g,4,Dips
Chris' Dips Spicy Capsicum 200g,4.5,Dips
Chris' Dips Traditional Hommus 200g,4.5,Dips
Nuffin Chive & Onion Dip 200g,4,Dips
South Cape Onion & Chives Cream Cheese 200g,5.1,Dips
Chris' Spicy Jalapeno Dip & Spread 200g,4.5,Dips
Yumi's Dip Or Create Guacamole & Jalapeno 100g,3.5,Dips
Obela Spicy Harissa Garnished Hommus 220g,5.5,Dips
"Picante Fresh Avocado With Capsicum, Chives & Lime 170g",3.5,Dips
Yumi's Avocado With Sea Salt Dip 65g X3 Pack,4.5,Dips
Nuffin Capsicum & Onion Dip 200g,4,Dips
Yumi's Traditional Middle Eastern Hommus 500g,6,Dips
Yumi's Roasted Capsicum & Cashew Dip 200g,3,Dips
Obela Hommus Garnished With Zesty Jalapenos 220g,5.5,Dips
Obela Hommus To Go Roasted Capsicum & Sakata Crackers 125g,4,Dips
Nuffin Capsicum & Onion Dip 200g,4,Dips
Yumi's Smoked Trout Mousse Dip 200g,6.5,Dips
Nuffin Chive & Onion Dip 200g,4,Dips
"Red Rock Deli Roasted Sweet Potato, Smoked Paprika & Cashews 135g",5,Dips
Willow Farm Beetroot Hommus 200g,2.4,Dips
Chris' Taramosalata Homestyle Caviar Dip 200g,4.5,Dips
