productTitle,productPrice
,27. Dairy Farmers - Classic Strawberry Flavoured Milk No Added Sugar 500mL
,28. Dairy Farmers - Fresh Cream 300mL
,29. Dairy Farmers - Fresh Cream 600mL
,30. Dairy Farmers - Full Cream Milk 3L
,31. Dairy Farmers - Full Cream Milk 2L
,32. Dairy Farmers - Heart Active Milk 1L
,33. Dairy Farmers - Lite Milk 2L
,34. Dairy Farmers - Lite Milk 1L
,35. Dairy Farmers - Milk Chocolate No Added Sugar 500mL
,36. Dairy Farmers - Shape Bottle 1L
,37. Dairy Farmers - Shape No Fat Milk Bottle 2L
,38. Dairy Farmers - Skim Milk 2L
,39. Dairy Farmers - Skim Milk Bottle 1L
,40. Dairy Farmers - Sour Cream 250gm
,41. Norco - Pure Jersey Milk 2L
,42. Norco - Real Iced Chocolate 500mL
,43. Norco - Reduced Fat Milk 2L
,44. OAK - Banana 600mL
,45. OAK - Chocolate 300mL
,46. OAK - Chocolate 2L
,47. OAK - Chocolate 600mL
,48. OAK - Chocolate 750mL
,49. OAK - Flavoured Milk Strawberry 2L
,50. OAK - Iced Coffee 600mL
,51. OAK - Iced Coffee 3 Pack
,52. OAK - Iced Coffee 300mL
,53. OAK - Iced Coffee 750mL
,54. OAK - Plus Protein Chocolate 500mL
,55. OAK - Plus Protein Vanilla 500mL
,56. OAK - Strawberry 600mL
,57. OAK - Strawberry 300mL
,58. OAK - Strawberry 750mL
,59. OAK - Strawberry 2L
,60. Pauls Zymil - Regular Thickened Cream 300mL
,61. Pauls Zymil - Skim Milk 1L
,62. Pura - Double Thick Cream Dollop 300mL
,63. Pura - Thick Cream Dollop 300mL
,64. Raw C - Coconut Milk Chocolate 325mL
,65. Rokeby Farms - Whole Protein Smoothie Banana 425mL
,66. So Good - Chilled Regular Soy Milk 1L
,67. Tatua Dairy Whip - Whipped Cream 250gm
,68. Vitasoy - Almond Double Espresso 330mL
,69. Vitasoy - Milky Lite Soy Milk 1L
,70. Vitasoy - Milky Soy Milk 1L
,71. Vitasoy - Soy Chocolate Milk 1L
,72. Vitasoy - Soy Milky Chocolate Chilled 1L
,73. Vitasoy - Whole Almond Milk Chocolate 330mL
,74. Western Star - Thickened Cream 600mL
,75. Western Star - Thickened Cream Bottle 300mL
