productTitle,productPrice,subCategoryName
Flora Margarine Spread Buttery 1kg,8.95,Butter & Margarine
Copha Oil Solid Cooking Block 250g,3,Butter & Margarine
Western Star Spreadable Salt Reduced 375g,6,Butter & Margarine
Mainland Garlic & Herbs Spread 140g,4,Butter & Margarine
Mainland Garlic Grass Fed Butter 125g,4,Butter & Margarine
Flora Margarine Spread Original 500g,4.5,Butter & Margarine
Supafry Solid Oil 500g,4.5,Butter & Margarine
Lurpak Butter Block Slightly Salted 400g,8,Butter & Margarine
Essentials Salted Butter 250g,3.7,Butter & Margarine
Mainland Buttersoft Pure Salted Butter 375g,7,Butter & Margarine
Woolworths Spread Olive Oil 500g,3.8,Butter & Margarine
Westgold Butter Salted 400g,5.8,Butter & Margarine
