productTitle,productPrice,subCategoryName
South Cape Cream Cheese Sweet Chilli | 80g,4.8,Sliced Cheese
Lemnos Fetta Traditional | 180g,6.5,Sliced Cheese
Lemnos Foods Dairy Cyprus Style Cheese Haloumi | 180g,7,Sliced Cheese
Riverina Haloumi | 180g,6.6,Sliced Cheese
South Cape Cream Cheese Apricot Almond | 80g,4.8,Sliced Cheese
Lemnos Traditional Fetta Twin Pack | 200g,7,Sliced Cheese
Jindi Triple Cream Brie | 180g,7,Sliced Cheese
Emborg French Camembert | 200g,7.2,Sliced Cheese
La Casa Del Formaggio Cherry Bocconcini Cheese | 220g,6,Sliced Cheese
Tasmanian Heritage Cheese Wedge Gouda | 180g,6.5,Sliced Cheese
Coles Dairy Cheese Fetta Aust Style | 200g,3.5,Sliced Cheese
Coles Finest Vintage British Cheddar | 200g,5,Sliced Cheese
Dodoni Halloumi | 225g,7,Sliced Cheese
Castello Herbs & Garlic In Oil Marinated Fetta | 265g,7,Sliced Cheese
Coles Cheese Apricot & Almond | 190g,3.8,Sliced Cheese
Mersey Valley Club Classic Cheddar Cheese | 235g,7,Sliced Cheese
Castello Double Cream Brie | 150g,7.5,Sliced Cheese
Coles Traditional Bocconcini | 210g,4.8,Sliced Cheese
Coles Triple Cream Brie | 200g,6.5,Sliced Cheese
