_id,productTitle,productPrice,productUrl,productImage,mainCategoryName,subCategoryName,shop,brandName
6663ef9027afadaf97944716,Kitkat Chunky Cookie Dough Milk Chocolate Bar 45g,2.5,https://www.woolworths.com.au/shop/productdetails/414516/kitkat-chunky-cookie-dough-milk-chocolate-bar,https://assets.woolworths.com.au/images/1005/414516.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,Kitkat
6663ef9027afadaf97944717,M&m's Minis Chocolate Snack & Share Bag 145g,3.6,https://www.woolworths.com.au/shop/productdetails/460813/m-m-s-minis-chocolate-snack-share-bag,https://assets.woolworths.com.au/images/1005/460813.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,M&m's
6663ef9027afadaf97944718,Pods Snickers Chocolate Snack & Share Party Bag 160g,3.6,https://www.woolworths.com.au/shop/productdetails/460811/pods-snickers-chocolate-snack-share-party-bag,https://assets.woolworths.com.au/images/1005/460811.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,Pods
6663ef9027afadaf97944719,Cadbury Twirl Breakaway Wafer Chocolate Bar 40g,1,https://www.woolworths.com.au/shop/productdetails/118040/cadbury-twirl-breakaway-wafer-chocolate-bar,https://assets.woolworths.com.au/images/1005/118040.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,Cadbury
6663ef9027afadaf9794471a,Kitkat Chunky Milo Milk Chocolate Bar 45g,2.5,https://www.woolworths.com.au/shop/productdetails/224320/kitkat-chunky-milo-milk-chocolate-bar,https://assets.woolworths.com.au/images/1005/224320.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,Kitkat
6663ef9027afadaf9794471b,M&m's Milk Chocolate Snack & Share Bag 380g,7,https://www.woolworths.com.au/shop/productdetails/108036/m-m-s-milk-chocolate-snack-share-bag,https://assets.woolworths.com.au/images/1005/108036.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,M&m's
6663ef9027afadaf9794471c,M&m's Peanut Milk Chocolate Snack & Share Bag 180g,3.6,https://www.woolworths.com.au/shop/productdetails/460570/m-m-s-peanut-milk-chocolate-snack-share-bag,https://assets.woolworths.com.au/images/1005/460570.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,M&m's
6663ef9027afadaf9794471d,Milkybar Milo White Choc Bar 38g,2.5,https://www.woolworths.com.au/shop/productdetails/322692/milkybar-milo-white-choc-bar,https://assets.woolworths.com.au/images/1005/322692.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,Milkybar
6663ef9027afadaf9794471e,Cadbury Twirl Chocolate Bites 140g,5,https://www.woolworths.com.au/shop/productdetails/252005/cadbury-twirl-chocolate-bites,https://assets.woolworths.com.au/images/1005/252005.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,Cadbury
6663ef9027afadaf9794471f,Cadbury Twirl Caramilk Chocolate Bar 39g,1,https://www.woolworths.com.au/shop/productdetails/65270/cadbury-twirl-caramilk-chocolate-bar,https://assets.woolworths.com.au/images/1005/65270.jpg?impolicy=wowsmkqiema&w=260&h=260,Confectionary,Chocolate Bars,woolworths,Cadbury
